,name,pair,price,volume_dollar_24h,volume_coin_24h,depth_minus_2,depth_plus_2,other_info,Volume_perc,spread,Last_traded,Trust_score
103,OpenOcean,MIM/SUSHI,$1.01,"$50,521",50000.000 MIM,-,-,0.1376486 SUSHI,-,-,**3 days ago Updated 2 days ago,-
104,OpenOcean,MIM/WBTC,$0.969234,"$20,415",21062.866 MIM,-,-,0.0000233 WBTC,-,-,**4 days ago Updated 3 days ago,-
105,OpenOcean,MIM/SCREAM,$0.981216,"$19,624",20000.000 MIM,-,-,0.01338355 SCREAM,-,-,**4 days ago Updated 3 days ago,-
106,OpenOcean,ICE/MIM,$0.995903,"$17,661",1000.000 ICE,-,-,17.73330767 MIM,-,-,**4 days ago Updated 4 days ago,-
107,OpenOcean,MIM/TSHARE,$1.20,"$5,962",4950.324 MIM,-,-,0.00009434 TSHARE,-,-,**1 day ago Updated 7 hours ago,-
108,OpenOcean,WETH/MIM,$0.986362,"$4,776",1.600 WETH,-,-,3026.39830303 MIM,-,-,**2 days ago Updated 1 day ago,-
109,OpenOcean,MIM/BLZZ,$0.970364,"$3,881",4000.000 MIM,-,-,6.60430531 BLZZ,-,-,**5 days ago Updated 4 days ago,-
110,OpenOcean,MIM/YEL,$0.958851,"$3,497",3647.559 MIM,-,-,28.02030287 YEL,-,-,**5 days ago Updated 4 days ago,-
111,OpenOcean,YEL/MIM,$0.961869,"$3,037",102205.718 YEL,-,-,0.0308899 MIM,-,-,**5 days ago Updated 4 days ago,-
112,OpenOcean,MIM/WFTM,$0.989872,"$2,374",2398.200 MIM,-,-,0.42170624 WFTM,-,-,**21 hours ago Updated 13 hours ago,-
113,OpenOcean,YFI/MIM,$0.900516,"$2,243",0.065 YFI,-,-,38154.0273408 MIM,-,-,**7 days ago Updated 6 days ago,-
114,OpenOcean,MIM/MIMATIC,$1.00,"$1,846",1845.971 MIM,-,-,1.00422821 MIMATIC,-,-,**1 day ago Updated 1 day ago,-
115,OpenOcean,BUSD/MIM,$0.899050,"$1,724",1989.700 BUSD,-,-,0.96376843 MIM,-,-,**7 days ago Updated 6 days ago,-
116,OpenOcean,SPIRIT/MIM,$1.02,"$1,701",8319.206 SPIRIT,-,-,0.20030421 MIM,-,-,**3 days ago Updated 2 days ago,-
117,OpenOcean,HEC/MIM,$0.991914,"$1,618",25.526 HEC,-,-,63.90724687 MIM,-,-,**1 day ago Updated 4 hours ago,-
118,OpenOcean,MIM/BEETS,$1.09,"$1,086",1000.000 MIM,-,-,2.15627874 BEETS,-,-,**1 day ago Updated 2 hours ago,-
119,OpenOcean,MIM/EXOD,$0.992395,$947,954.685 MIM,-,-,0.00215152 EXOD,-,-,**4 days ago Updated 3 days ago,-
120,OpenOcean,GEIST/MIM,$0.999602,$945,3458.824 GEIST,-,-,0.27345422 MIM,-,-,**2 days ago Updated 1 day ago,-
121,OpenOcean,GOHM/MIM,$0.987215,$912,0.058 GOHM,-,-,15931.96432623 MIM,-,-,**3 days ago Updated 2 days ago,-
122,OpenOcean,MIM/SPELL,$0.974827,$780,800.000 MIM,-,-,63.86923804 SPELL,-,-,**22 hours ago Updated recently,-
123,OpenOcean,JOE/MIM,$1.02,$752,486.785 JOE,-,-,1.51429898 MIM,-,-,**3 days ago Updated 2 days ago,-
124,OpenOcean,MIM/BUSD,$0.957167,$677,706.933 MIM,-,-,0.98972256 BUSD,-,-,**5 days ago Updated 4 days ago,-
125,OpenOcean,LQDR/MIM,$0.974827,$616,31.822 LQDR,-,-,19.86645231 MIM,-,-,**10 hours ago Updated recently,-
126,OpenOcean,USDC/MIM,$0.979775,$488,498.109 USDC,-,-,0.99970056 MIM,-,-,**1 day ago Updated 22 hours ago,-
127,OpenOcean,WBTC/MIM,$0.990212,$413,0.010 WBTC,-,-,41748.96179599 MIM,-,-,**1 day ago Updated 20 hours ago,-
128,OpenOcean,MIM/ICE,$0.974827,$252,258.000 MIM,-,-,0.06681023 ICE,-,-,**22 hours ago Updated recently,-
129,OpenOcean,MIM/WAVAX,$0.963360,$123,127.274 MIM,-,-,0.01018603 WAVAX,-,-,**5 days ago Updated 4 days ago,-
